"adm_02_ar","adm_03_ar","lat","lon"
"البقاع الغربي","الخياره",33.6919954,35.8396115
"البقاع الغربي","الدكوه",33.6924416,35.8774428
"البقاع الغربي","الروضة",33.7484215,35.8790855
"البقاع الغربي","السلطان يعقوب التحتا",33.6426443,35.8420224
"البقاع الغربي","السلطان يعقوب الفوقا",33.6457078,35.8629381
"البقاع الغربي","الشبرقية",NA,NA
"البقاع الغربي","الصويري",NA,NA
"البقاع الغربي","القرعون",33.5668938,35.7192567
"البقاع الغربي","المرج",33.7616036,35.8835437
"البقاع الغربي","المنارة",33.6466471,35.8779542
"البقاع الغربي","المنصوره",NA,NA
"البقاع الغربي","باب مارع",NA,NA
"البقاع الغربي","بعلول",33.590695,35.7492549
"البقاع الغربي","تل ذنوب",NA,NA
"البقاع الغربي","جب جنين",33.6328198,35.7819158
"البقاع الغربي","حوش الحريمه",33.7201097,35.8531323
"البقاع الغربي","خربة قنافار",33.6375916,35.7254647
"البقاع الغربي","زلايا",33.4594368,35.6716034
"البقاع الغربي","سحمر",33.5197252,35.6862309
"البقاع الغربي","صغبين",33.6117017,35.6983148
"البقاع الغربي","عانا",33.6925357,35.7612273
"البقاع الغربي","عميق",33.7127243,35.7716399
"البقاع الغربي","عيتنيت",33.5613271,35.6702893
"البقاع الغربي","عين التينه",33.5021742,35.6425503
"البقاع الغربي","عين زبده",33.6223718,35.7030023
"البقاع الغربي","غزه",33.6679132,35.8280929
"البقاع الغربي","قليا",33.4374313,35.6580007
"البقاع الغربي","كامد اللوز",33.6199656,35.8226749
"البقاع الغربي","كفريا",NA,NA
"البقاع الغربي","لالا",33.598873,35.7624401
"البقاع الغربي","لبايا",33.4812688,35.7265409
"البقاع الغربي","لوسيا",33.4411424,35.6493756
"البقاع الغربي","مشغره التحتا",33.5291677,35.6538105
"البقاع الغربي","مشغره الفوقا",NA,NA
"البقاع الغربي","ميدون",33.4693895,35.6407912
"البقاع الغربي","يحمر",33.4861543,35.67038489999999
"راشيا","البيره",33.5835543,35.8191465
"راشيا","الحوش",33.4760975,35.7550954
"راشيا","الرفيد",33.5721587,35.8172813
"راشيا","العقبة",33.5050195,35.82205
"راشيا","بكا",33.5937787,35.9248684
"راشيا","بكيفا",33.4932276,35.8195696
"راشيا","بيت لهيا",33.4834713,35.8022205
"راشيا","تنوره",33.4742219,35.8030738
"راشيا","حلوه",33.6104939,35.9992718
"راشيا","خربة روحا",33.5717934,35.8531431
"راشيا","دير العشائر",33.5764596,36.0100778
"راشيا","راشيا حي الفوقا",NA,NA
"راشيا","راشيا حي الكواسبه",NA,NA
"راشيا","راشيا حي الميدان",NA,NA
"راشيا","سلساتا",NA,NA
"راشيا","ضهر الاحمر",33.5278527,35.8388559
"راشيا","عيتا الفخار",33.6399798,35.9050801
"راشيا","عيحا",33.4990199,35.8749241
"راشيا","عين حرشا",33.4566297,35.7841987
"راشيا","عين عرب",33.5763144,35.87428999999999
"راشيا","عين عطا",33.4366152,35.7794641
"راشيا","كفردنيس",33.5494953,35.853199
"راشيا","كفرقوق",33.5323686,35.8929818
"راشيا","كفرمشكي",NA,NA
"راشيا","كوكبا",33.5292896,35.7794359
"راشيا","مجدل بلهيص",33.5386487,35.74647
"راشيا","محيدثه",33.5564654,35.8117649
"راشيا","مدوخا",33.6061265,35.8772622
"راشيا","ينطا",33.603494,35.9445726
"زحلة","ابلح",NA,NA
"زحلة","الفرزل التحتا",NA,NA
"زحلة","الفرزل الفوقا",NA,NA
"زحلة","الكرمة",NA,NA
"زحلة","الوقف",NA,NA
"زحلة","بتياس",NA,NA
"زحلة","بر الياس",33.7728148,35.8979003
"زحلة","بوارج",NA,NA
"زحلة","تربل",33.8177577,35.98372740000001
"زحلة","تعلبايا",33.8462557,35.90195190000001
"زحلة","تعنايل",33.8007209,35.8692377
"زحلة","تل الاخضر",33.7342907,35.8264435
"زحلة","تويته",33.8598972,35.8550059
"زحلة","جديتا",33.8174838,35.8406565
"زحلة","جلالا",33.8462557,35.90195190000001
"زحلة","حاجي حببلي",NA,NA
"زحلة","حزرتا",33.8462557,35.90195190000001
"زحلة","حوش الغنم",33.875546,36.0224616
"زحلة","حوش حالا",33.8477702,35.9951058
"زحلة","حي السلم",NA,NA
"زحلة","حي الفيكاني",33.8487696,36.028713
"زحلة","خضر بك",NA,NA
"زحلة","دلهميه",NA,NA
"زحلة","دير الغزال",33.8243759,36.0346324
"زحلة","رعيت",33.8308853,36.045977
"زحلة","رياق",33.849091,36.0121663
"زحلة","زحلة البرباره",33.8495019,35.8994301
"زحلة","زحلة الراسيه التحتا",NA,NA
"زحلة","زحلة الراسيه الفوقا",NA,NA
"زحلة","زحلة المعلقه الشمالي",NA,NA
"زحلة","زحلة المعلقه",33.8439356,35.9170737
"زحلة","زحلة الميدان الشرقي",NA,NA
"زحلة","زحلة الميدان الغربي",33.8485603,35.897999
"زحلة","زحلة حوش الامراء",33.8462557,35.90195190000001
