"Admin_3_AR","lat","lon","Index","counter"
"الشبرقية",33.7035256,35.8229631,"1",1
"الشبرقية",33.703526,35.8229656,"1",2
"الشبرقية",33.7774821,35.8721094,"1",3
"الشبرقية",33.77748,35.8721102,"1",4
"الشبرقية",26.009095,43.3431697,"1",5
"الشبرقية",18.2373684,42.4375221,"1",6
"الشبرقية",33.7815108,35.8814014,"1",7
"الصويري",34.7509859,36.4634869,"2",1
"المنصوره",31.0409483,31.3784704,"3",1
"باب مارع",33.5823179,35.6812785,"4",1
"تل ذنوب",33.6612028,35.7796574,"5",1
"تل ذنوب",33.6328488,35.7818877,"5",2
"راشيا حي الفوقا",33.5018826,35.8398217,"6",1
"راشيا حي الكواسبه",33.5013933,35.843158,"7",1
"راشيا حي الكواسبه",33.4937426,35.8412463,"7",2
"سلساتا",NA,NA,"8",1
"الفرزل التحتا",33.7934823,35.8226097,"9",1
"الوقف",55.5943007,13.0389555,"10",1
"الوقف",26.0872873,32.42305,"10",2
"الوقف",30.4854136,47.7983379,"10",3
"الوقف",33.3382998,44.2939407,"10",4
"الوقف",16.9780138,42.6921057,"10",5
"الوقف",24.7563431,46.730226,"10",6
"الوقف",26.0778418,32.4297369,"10",7
"الوقف",26.0880259,32.4249904,"10",8
"الوقف",14.5386594,44.4186359,"10",9
"الوقف",30.2129549,31.4095718,"10",10
"الوقف",26.0838894,32.4491607,"10",11
"الوقف",34.8858072,44.6249209,"10",12
"الوقف",24.869894,40.511734,"10",13
"الوقف",51.4534425,5.4691445,"10",14
"الوقف",26.085933699999998,32.4235709,"10",15
"الوقف",16.7034979,42.9546027,"10",16
"الوقف",26.0861418,32.4236155,"10",17
"الوقف",26.093046,32.424235,"10",18
"الوقف",30.5098732,31.5091649,"10",19
"الوقف",26.3130243,44.2588051,"10",20
"بتياس",28.9578494,-13.6507431,"11",1
"حاجي حببلي",36.6135423,52.2183231,"12",1
"حي السلم",33.8937913,35.5017767,"13",1
"حي السلم",33.8312787,35.5121753,"13",2
"حي السلم",33.8535791,35.5187425,"13",3
"حي السلم",33.8283264,35.5121425,"13",4
"حي السلم",33.8268982,35.5126187,"13",5
"حي السلم",18.9503302,41.9248678,"13",6
"حي السلم",33.8289218,35.5121335,"13",7
"حي السلم",21.3238501,0.9493977,"13",8
"حي السلم",33.8294043,35.5123202,"13",9
"حي السلم",33.8288043,35.5129275,"13",10
"حي السلم",33.8268982,35.5126187,"13",11
"حي السلم",21.4534115,39.3233108,"13",12
"حي السلم",31.9550138,5.3145457,"13",13
